REF_DATE,GEO,DGUID,Components of population growth,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021/2022,Canada,2016A00001124,Births,Both sexes,All ages,Persons,249,units,0,v1462639373,307.1.1.1,368792,,,,0
2021/2022,Canada,2016A00001124,Deaths,Both sexes,All ages,Persons,249,units,0,v1462639379,307.2.1.1,323221,,,,0
2021/2022,Canada,2016A00001124,Immigrants,Both sexes,All ages,Persons,249,units,0,v1462639712,307.3.1.1,492984,,,,0
2021/2022,Canada,2016A00001124,Emigrants,Both sexes,All ages,Persons,249,units,0,v1462640045,307.4.1.1,49769,,,,0
2021/2022,Canada,2016A00001124,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1462640378,307.5.1.1,40326,,,,0
2021/2022,Canada,2016A00001124,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1462640711,307.6.1.1,30946,,,,0
2021/2022,Canada,2016A00001124,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1462641044,307.7.1.1,0,,,,0
2021/2022,Canada,2016A00001124,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1462641377,307.8.1.1,0,,,,0
2021/2022,Canada,2016A00001124,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1462641710,307.9.1.1,205238,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Births,Both sexes,All ages,Persons,249,units,0,v1059822843,1.1.1.1,3850,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Deaths,Both sexes,All ages,Persons,249,units,0,v1059822849,1.2.1.1,6144,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059823182,1.3.1.1,2843,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059823515,1.4.1.1,226,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059823848,1.5.1.1,93,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059824181,1.6.1.1,164,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059824514,1.7.1.1,2930,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059824847,1.8.1.1,0,,,,0
2021/2022,Newfoundland and Labrador,2016A000210,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059825180,1.9.1.1,2338,,,,0
2021/2022,"Division No. 1, Newfoundland and Labrador",2016A00031001,Births,Both sexes,All ages,Persons,249,units,0,v1059825846,2.1.1.1,2256,,,,0
2021/2022,"Division No. 1, Newfoundland and Labrador",2016A00031001,Deaths,Both sexes,All ages,Persons,249,units,0,v1059825852,2.2.1.1,2890,,,,0
2021/2022,"Division No. 1, Newfoundland and Labrador",2016A00031001,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059826185,2.3.1.1,2220,,,,0
2021/2022,"Division No. 1, Newfoundland and Labrador",2016A00031001,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059826518,2.4.1.1,176,,,,0
2021/2022,"Division No. 1, Newfoundland and Labrador",2016A00031001,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059826851,2.5.1.1,75,,,,0
2021/2022,"Division No. 1, Newfoundland and Labrador",2016A00031001,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059827184,2.6.1.1,128,,,,0
2021/2022,"Division No. 1, Newfoundland and Labrador",2016A00031001,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059827517,2.7.1.1,869,,,,0
2021/2022,"Division No. 1, Newfoundland and Labrador",2016A00031001,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059827850,2.8.1.1,510,,,,0
2021/2022,"Division No. 1, Newfoundland and Labrador",2016A00031001,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059828183,2.9.1.1,2068,,,,0
2021/2022,"Division No. 2, Newfoundland and Labrador",2016A00031002,Births,Both sexes,All ages,Persons,249,units,0,v1059828849,3.1.1.1,113,,,,0
2021/2022,"Division No. 2, Newfoundland and Labrador",2016A00031002,Deaths,Both sexes,All ages,Persons,249,units,0,v1059828855,3.2.1.1,286,,,,0
2021/2022,"Division No. 2, Newfoundland and Labrador",2016A00031002,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059829188,3.3.1.1,16,,,,0
2021/2022,"Division No. 2, Newfoundland and Labrador",2016A00031002,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059829521,3.4.1.1,0,,,,0
